index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std,n_samples
11,S2_IGBP_DOM,CatBoost,val,17.519553719172688,0.0982701736827304,26.002763830619653,0.1592230081440053,0.5314542535857536,0.0068482559659993,4821
12,S2_IGBP_DOM,LightGBM,test,20.66218737287372,0.1595373040605682,28.957245413004,0.1014846917012084,0.6103247311258543,0.0026177010876994,3944
13,S2_IGBP_DOM,LightGBM,train,12.065812379398308,0.0969310671079718,20.44406706328,0.1092641107910408,0.8462921105833129,0.0017604226099772,38435
14,S2_IGBP_DOM,LightGBM,val,18.27390376734808,0.2215897474022586,26.163873582629,0.3351528352108516,0.5372843254512948,0.0104678541604037,4821
6,S2_IGBP_DOM,MLP,test,22.57241533340998,0.2615494415577459,31.53502826140316,0.3996678968769737,0.5256522387534527,0.0110188806232285,3944
7,S2_IGBP_DOM,MLP,train,20.11919871976796,0.0295785337361837,28.963974521615608,0.1902784493598785,0.6352893661390179,0.0007954090453703,38435
8,S2_IGBP_DOM,MLP,val,19.61160668981922,0.1201967194478737,28.691839731130926,0.3265914329223771,0.4113497915248247,0.0085385014072572,4821
9,S2_IGBP_DOM,TabTransformer,test,22.144634265445067,0.4373188572625712,30.877638440589,0.4676625229906638,0.5478627552123033,0.008885850147231,3944
10,S2_IGBP_DOM,TabTransformer,train,20.236146863882624,0.3017541064932755,29.12840708976052,0.4336523251079581,0.631616500817183,0.009437540446926,38435
11,S2_IGBP_DOM,TabTransformer,val,19.49844958166821,0.062723720755257,28.56802380838141,0.1798331808972539,0.4144515246416447,0.0095794744038692,4821
15,S2_IGBP_DOM,XGBoost,test,20.68607852929828,0.0840189842734096,28.86683765117077,0.135923323440634,0.6091901887488654,0.0042210447921298,3944
16,S2_IGBP_DOM,XGBoost,train,10.555367916897666,0.0486799781784184,18.77777748786566,0.0623173968968268,0.8773135103619758,0.0009478712062711,38435
17,S2_IGBP_DOM,XGBoost,val,18.30028948017409,0.1915246269179716,26.21090166506849,0.2718189909199698,0.5296592697536018,0.0106515682177626,4821
18,S3_IGBP_DOM_FE,CatBoost,test,19.986865931806182,0.0573135587784948,28.685375022608607,0.0925663462789472,0.6275331365495044,0.0016573422189021,3524
19,S3_IGBP_DOM_FE,CatBoost,train,18.592735916056643,0.3504890098416958,27.37794606771298,0.4195304272249486,0.6905940473034723,0.0095855989361799,38836
20,S3_IGBP_DOM_FE,CatBoost,val,17.896662187746035,0.0486747156138544,26.39331426326013,0.1135756672560078,0.5166814502766922,0.005830002671378,4831
21,S3_IGBP_DOM_FE,LightGBM,test,20.575099790416637,0.074278225762231,28.943325665921837,0.0264129470346062,0.6168003995663728,0.0011573676223387,3524
22,S3_IGBP_DOM_FE,LightGBM,train,12.08860496646244,0.1151910820320457,20.45511471270191,0.1307878984158665,0.8449628966442333,0.0022092824480553,38836
23,S3_IGBP_DOM_FE,LightGBM,val,18.81215623034932,0.0471287124038194,26.727559202339148,0.050881741083717,0.5354071864730984,0.0024610479142077,4831
12,S3_IGBP_DOM_FE,MLP,test,22.90883817710617,0.3216772893134523,31.79620203733911,0.3939060294781513,0.5171952487018902,0.0124483171650192,3524
13,S3_IGBP_DOM_FE,MLP,train,20.1316865076119,0.1941225457603534,28.994148981112588,0.2046346431672046,0.6325651033571164,0.0058522829898484,38836
14,S3_IGBP_DOM_FE,MLP,val,19.511113905441125,0.088964926658116,28.60264421606672,0.2733948460103287,0.4218931504073195,0.0052161966634848,4831
15,S3_IGBP_DOM_FE,TabTransformer,test,22.728238776467126,0.7955111921884954,31.70004218390062,1.027521445596274,0.5140365658641223,0.0397980933241278,3524
16,S3_IGBP_DOM_FE,TabTransformer,train,20.340182681317703,0.5641869529055478,29.37056722642971,0.4922956155544737,0.626035041960101,0.0202406586312814,38836
17,S3_IGBP_DOM_FE,TabTransformer,val,19.58689559400102,0.5561658615570222,28.701617032862007,0.4062830444649381,0.4138336816962513,0.0273307996043199,4831
24,S3_IGBP_DOM_FE,XGBoost,test,20.91982524913941,0.1130101999764403,29.104338192439084,0.1184201542506164,0.6108721328815835,0.0038043340755907,3524
25,S3_IGBP_DOM_FE,XGBoost,train,10.540044379578978,0.0768917836785866,18.796209089541996,0.057439165343086,0.8760601280235133,0.0009516774344722,38836
26,S3_IGBP_DOM_FE,XGBoost,val,18.77097908204051,0.0240807181695159,26.75351472901706,0.0702376726185637,0.5246630005594904,0.0034526195372482,4831
27,S4_IGBP_DOM_FE_W,CatBoost,test,19.921683564475824,0.124573483652212,28.51743937120011,0.2457734475993394,0.6320296078429607,0.0063897728618,3524
28,S4_IGBP_DOM_FE_W,CatBoost,train,18.015557288156323,0.8187351793252587,26.67803995329041,0.9996824822744708,0.7072985647373704,0.0243330102273749,38836
29,S4_IGBP_DOM_FE_W,CatBoost,val,17.87616215777727,0.0285286050781336,26.31146566940301,0.0734774688063379,0.5241767971953878,0.0090853929361387,4831
30,S4_IGBP_DOM_FE_W,LightGBM,test,20.37942693981805,0.0597970107718066,28.84592601610748,0.0756253809942774,0.6199509746236146,0.0023549034223297,3524
31,S4_IGBP_DOM_FE_W,LightGBM,train,13.328393385019844,0.0590044329567376,21.823962409846747,0.0798221755491196,0.821246362208381,0.0014576875454048,38836
